Unnamed: 0.1;Unnamed: 0;Cliente_ID;Detalhes_Reclamações;Histórico_Reclamações;Frequência_Compra;Género;Idade;Método_Pagamento;País;Preferência_Categoria;Score_Fidelidade;sentimento
0;0;862909;"Demora na resposta; Produto chegou danificado; Reembolso não processado; Suporte ao cliente fraco; Produto diferente do pedido";5;Média;F;66;Cartão de Crédito;França;Beleza;7;-0.075
1;1;389766;Reembolso não processado;1;Média;F;43;Débito;Itália;Beleza;10;0.0
2;2;546264;Entrega atrasada;1;Média;F;65;Transferência Bancária;Portugal;Moda;8;0.0
3;3;237058;"Reembolso não processado; Produto diferente do pedido; Qualidade abaixo do esperado";3;Média;M;26;Cartão de Crédito;Portugal;Beleza;7;-0.03333333333333333
4;4;870194;;0;Alta;M;41;Cartão de Crédito;Itália;Eletrónica;10;0.0
5;5;360941;"Reembolso não processado; Entrega atrasada; Demora na resposta; Suporte ao cliente fraco";4;Média;F;46;PayPal;Alemanha;Alimentos;6;-0.09375
6;6;486743;"Qualidade abaixo do esperado; Demora na resposta; Reembolso não processado; Suporte ao cliente fraco";4;Alta;M;19;PayPal;Espanha;Eletrónica;3;-0.11875
7;7;544514;"Reembolso não processado; Qualidade abaixo do esperado";2;Baixa;F;32;Cartão de Crédito;Alemanha;Eletrónica;9;-0.05
8;8;923554;"Qualidade abaixo do esperado; Reembolso não processado; Produto diferente do pedido; Entrega atrasada";4;Média;M;39;Cartão de Crédito;Itália;Moda;9;-0.025
9;9;962908;"Reembolso não processado; Suporte ao cliente fraco; Entrega atrasada";3;Baixa;M;33;Transferência Bancária;Espanha;Casa;7;-0.125
10;10;175760;"Demora na resposta; Produto chegou danificado; Qualidade abaixo do esperado; Reembolso não processado; Entrega atrasada";5;Baixa;F;57;Cartão de Crédito;Portugal;Alimentos;8;-0.02
11;11;962122;"Reembolso não processado; Produto chegou danificado; Entrega atrasada; Demora na resposta; Qualidade abaixo do esperado";5;Média;F;49;PayPal;Portugal;Moda;9;-0.02
12;12;314114;"Reembolso não processado; Entrega atrasada";2;Alta;F;38;PayPal;Portugal;Eletrónica;6;0.0
13;13;398351;"Suporte ao cliente fraco; Entrega atrasada; Reembolso não processado";3;Alta;M;69;Transferência Bancária;Portugal;Alimentos;7;-0.125
14;14;798452;"Suporte ao cliente fraco; Entrega atrasada";2;Média;F;39;Cartão de Crédito;Itália;Moda;9;-0.1875
15;15;404402;;0;Alta;M;52;PayPal;Portugal;Beleza;6;0.0
16;16;873899;"Produto chegou danificado; Produto diferente do pedido";2;Baixa;M;48;Débito;Itália;Casa;10;0.0
17;17;972844;;0;Alta;F;25;Transferência Bancária;Itália;Casa;9;0.0
18;18;455614;Produto diferente do pedido;1;Alta;F;51;PayPal;Portugal;Alimentos;3;0.0
19;19;256628;"Reembolso não processado; Entrega atrasada; Suporte ao cliente fraco";3;Alta;M;36;Débito;França;Casa;3;-0.125
20;20;776525;"Produto diferente do pedido; Suporte ao cliente fraco";2;Alta;M;53;PayPal;Espanha;Beleza;8;-0.1875
21;21;226346;Demora na resposta;1;Média;F;35;PayPal;França;Moda;4;0.0
22;22;908101;;0;Alta;M;50;Transferência Bancária;Portugal;Moda;4;0.0
23;23;356764;"Entrega atrasada; Reembolso não processado; Qualidade abaixo do esperado";3;Baixa;M;65;Transferência Bancária;França;Moda;4;-0.03333333333333333
24;24;183272;"Qualidade abaixo do esperado; Produto diferente do pedido; Entrega atrasada";3;Baixa;M;59;PayPal;França;Moda;3;-0.03333333333333333
25;25;229699;"Demora na resposta; Produto chegou danificado; Reembolso não processado; Qualidade abaixo do esperado; Entrega atrasada";5;Alta;M;55;Transferência Bancária;Portugal;Moda;3;-0.02
26;26;563395;"Produto chegou danificado; Reembolso não processado; Demora na resposta; Suporte ao cliente fraco";4;Alta;F;41;Cartão de Crédito;França;Casa;4;-0.09375
27;27;443532;"Produto diferente do pedido; Reembolso não processado; Demora na resposta; Suporte ao cliente fraco; Entrega atrasada";5;Baixa;F;49;Débito;Portugal;Beleza;7;-0.075
28;28;671776;"Produto diferente do pedido; Reembolso não processado";2;Média;M;41;Transferência Bancária;Alemanha;Alimentos;2;0.0
29;29;413077;;0;Média;M;25;Transferência Bancária;Alemanha;Eletrónica;6;0.0
30;30;236366;;0;Alta;F;30;Débito;França;Moda;4;0.0
31;31;130632;"Reembolso não processado; Demora na resposta";2;Baixa;F;23;Transferência Bancária;França;Beleza;1;0.0
32;32;730986;;0;Baixa;F;22;Transferência Bancária;Itália;Alimentos;4;0.0
33;33;236796;"Produto diferente do pedido; Suporte ao cliente fraco";2;Alta;F;22;PayPal;Espanha;Alimentos;3;-0.1875
34;34;547040;Qualidade abaixo do esperado;1;Alta;F;47;Débito;França;Beleza;8;-0.1
35;35;361529;"Demora na resposta; Produto diferente do pedido; Qualidade abaixo do esperado; Reembolso não processado; Produto chegou danificado";5;Média;M;44;PayPal;Portugal;Moda;8;-0.02
36;36;583112;;0;Alta;M;27;Cartão de Crédito;França;Moda;6;0.0
37;37;807985;"Produto chegou danificado; Reembolso não processado; Produto diferente do pedido";3;Média;M;24;Cartão de Crédito;Itália;Alimentos;1;0.0
38;38;712126;"Produto chegou danificado; Reembolso não processado; Demora na resposta; Produto diferente do pedido; Qualidade abaixo do esperado";5;Baixa;M;35;Transferência Bancária;Itália;Alimentos;4;-0.02
39;39;564042;"Demora na resposta; Produto chegou danificado";2;Alta;M;29;Transferência Bancária;Espanha;Beleza;10;0.0
40;40;383846;"Reembolso não processado; Suporte ao cliente fraco";2;Alta;M;49;Débito;França;Moda;4;-0.1875
41;41;852996;"Suporte ao cliente fraco; Qualidade abaixo do esperado; Demora na resposta; Produto diferente do pedido; Produto chegou danificado";5;Alta;F;55;Débito;Portugal;Alimentos;5;-0.095
42;42;360512;"Demora na resposta; Entrega atrasada; Suporte ao cliente fraco";3;Média;M;28;PayPal;Alemanha;Moda;5;-0.125
