Categoria,Consumo_Agua_Litros,Consumo_Energia_kWh,Custo_Produção,Data_Compra,Data_Receção,Emissao_Gases_CO2e_kg,Fabricante,País_Fabricante,Preço_Unitário,Produto,Produto_ID,Quantidade_Vendida,Região_Fabricante,Indice
Alimentos,0.32,0.86,0.5,2023-03-03 00:00:00,2023-03-10 00:00:00,3.61,StyleSupplies,França,2.83,Água 2,26,7,Paris,0.8219999058995047
Alimentos,0.33,0.58,0.51,2023-09-23 01:00:00,2023-09-27 01:00:00,2.62,StyleSupplies,França,4.96,Bolachas 3,36,1,Marselha,0.8720850465422441
Alimentos,0.33,0.58,0.51,2023-07-07 01:00:00,2023-07-18 01:00:00,2.62,StyleSupplies,França,4.96,Bolachas 3,36,2,Marselha,0.8720850465422441
Alimentos,0.44,0.27,0.52,2023-10-06 01:00:00,2023-10-12 01:00:00,9.94,GreenSupplies,Alemanha,3.21,Chocolate 1,31,10,Munique,0.5022836879498791
Alimentos,0.22,0.34,0.52,2023-09-16 01:00:00,2023-09-17 01:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,2,Porto,0.5951233922013885
Alimentos,0.22,0.34,0.52,2023-02-11 00:00:00,2023-02-17 00:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,3,Porto,0.5951233922013885
Alimentos,0.22,0.34,0.52,2023-07-06 01:00:00,2023-07-12 01:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,8,Porto,0.5951233922013885
Alimentos,0.22,0.34,0.52,2023-02-27 00:00:00,2023-03-04 00:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,6,Porto,0.5951233922013885
Alimentos,0.22,0.34,0.52,2023-07-06 01:00:00,2023-07-13 01:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,4,Porto,0.5951233922013885
Alimentos,0.22,0.34,0.52,2023-02-23 00:00:00,2023-03-07 00:00:00,8.11,GreenSupplies,Portugal,1.23,Bolachas 1,34,4,Porto,0.5951233922013885
Alimentos,0.24,0.94,0.52,2023-03-01 00:00:00,2023-03-10 00:00:00,8.35,StyleSupplies,Alemanha,2.77,Bolachas 3,36,4,Hamburgo,0.5827365459432681
Alimentos,0.24,0.94,0.52,2023-05-17 01:00:00,2023-05-31 01:00:00,8.35,StyleSupplies,Alemanha,2.77,Bolachas 3,36,6,Hamburgo,0.5827365459432681
Alimentos,0.24,0.94,0.52,2023-06-14 01:00:00,2023-06-21 01:00:00,8.35,StyleSupplies,Alemanha,2.77,Bolachas 3,36,4,Hamburgo,0.5827365459432681
Alimentos,0.24,0.94,0.52,2023-09-02 01:00:00,2023-09-05 01:00:00,8.35,StyleSupplies,Alemanha,2.77,Bolachas 3,36,2,Hamburgo,0.5827365459432681
